C.D.S.  -  SIMBAD4 rel 1.5  -  2016.05.31CEST18:39:28

 IdentList
----------

 # 	typed ident	       identifier        	typ	 coord1 (ICRS,J2000/2000)  	       pm       	  plx  	 radvel  	Mag U 	Mag B 	Mag V 	Mag R 	Mag I 	  spec. type   
---	-----------	-------------------------	---	---------------------------	----------------	-------	---------	------	------	------	------	------	---------------
138	HD2039     	HD 2039                  	*  	006.08448996 -56.65004726  	    78.42 15.22 	   9.75	8.30     	     ~	 9.65 	 8.99 	     ~	     ~	G2/3IV/V       
139	HD187085   	HD 187085                	*  	297.39152517 -37.78054846  	   7.60 -103.39 	  22.71	17.70    	     ~	 7.78 	 7.21 	     ~	     ~	G0V            
140	HD118203   	HD 118203                	*  	203.51057427 +53.72853063  	  -87.39 -77.84 	  11.29	-29.07   	     ~	 8.75 	 8.06 	     ~	     ~	K0             
141	HD175167   	HD 175167                	PM*	285.00348191 -69.94424287  	  -7.31 -192.74 	  14.86	4.3      	     ~	 8.78 	 8.000	 7.89 	 8.86 	G5IV/V         
142	HD47186    	HD 47186                 	PM*	099.03661528 -27.62229708  	  21.32 -263.01 	  25.26	4.30     	     ~	 8.36 	 7.63 	     ~	     ~	G6V            
143	HD142245   	HD 142245                	*  	238.23450511 +15.43070731  	  -55.58 -20.82 	   9.13	6.09     	     ~	 8.492	 7.45 	     ~	     ~	K0             
144	HD30177    	HD 30177                 	*  	070.47655500 -58.02075546  	   66.15 -11.45 	  18.93	62.1     	     ~	 9.18 	 8.37 	     ~	     ~	G8V            
145	HD190647   	HD 190647                	PM*	301.83195285 -35.53863421  	 -28.38 -207.57 	  17.46	-40.29   	     ~	 8.54 	 7.78 	     ~	     ~	G5V            
146	HD97658    	HD 97658                 	*  	168.63817454 +25.71038616  	  -106.48 48.82 	  47.36	-1.46    	 9.049	 8.569	 7.714	 7.259	 6.835	K1V            
147	HD106270   	HD 106270                	*  	183.40535538 -09.51338029  	  -99.69 -41.86 	  11.78	24.24    	     ~	 8.319	 7.58 	     ~	     ~	G5IV           
148	HD30856    	HD 30856                 	RG*	072.57442501 -24.36884155  	   18.91 -18.93 	   8.47	35.59    	     ~	 8.872	 7.911	     ~	     ~	K0III          
149	HD48265    	HD 48265                 	*  	100.00719179 -48.54195402  	    25.44 30.53 	  11.71	23.74    	     ~	 8.78 	 8.03 	     ~	     ~	G5IV/V         
150	HD89307    	HD 89307                 	PM*	154.58869962 +12.62110660  	 -272.29 -39.91 	  30.90	23.06    	 7.650	 7.590	 7.030	 6.7  	 6.4  	G0V            
